publishedsince_days,brand,model,Price,year,KMs,Engine,Gear,Color,warranty_months,type of ad,rechargeable,battery_capacity_km,engine_power_kW,battery_volts_V,battery_intensity_A
60,PORSCHE,     CAYENNE 2,86460,2019,44289,Petrol,automatic,blancverni,12,Professional,,,324.0,,
39,PORSCHE,     BOXSTER 3 TYPE 981,86290,2017,36180,Petrol,automatic,grisquartz,12,Professional,,,,,
44,BMW,     SERIE 4 F83 CABRIOLET M4,85370,2020,19186,Petrol,automatic,rauchtopasmetallisee,24,Professional,,,,,
60,LAND ROVER,     RANGE ROVER VELAR,85350,2022,9990,Diesel,automatic,grisfoncã©metal,24,Professional,,,177.0,,
32,ASTON MARTIN,     V8 VANTAGE,84780,2014,25403,Petrol,automatic,blancmetal,6,Professional,,,313.0,,
30,PORSCHE,     MACAN,84740,2020,20500,Petrol,automatic,noir,6,Professional,,,,,
13,MERCEDES,     GLC COUPE AMG,84630,2019,64607,Petrol,automatic,gris,12,Professional,,,,,
33,LAND ROVER,     RANGE ROVER VELAR,83880,2019,60096,Petrol,automatic,gris,12,Professional,,,,,
30,PORSCHE,     MACAN,83680,2020,19073,Petrol,automatic,noir,6,Professional,,,,,
60,PORSCHE,     MACAN,83660,2019,51802,Petrol,automatic,grisquartzmã©tallisã©,6,Professional,,,250.0,,
58,AUDI,     RS Q3 (2E GENERATION),83420,2020,16989,Petrol,automatic,blanc,6,Professional,,,,,
40,LAND ROVER,     RANGE ROVER VELAR,83180,2021,33499,Diesel,automatic,grismetal,24,Professional,,,177.0,,
60,PORSCHE,     911 TYPE 997,82800,2008,102724,Petrol,automatic,blanc,0,Professional,,,,,
58,MERCEDES,     GLC COUPE,82440,2021,6944,Diesel,automatic,noir,12,Professional,,,,,
60,FIAT,     DUCATO 3,81840,2022,1240,Electric,automatic,grisclair,19,Professional,yes,174.0,,389.0,41.0
60,DODGE,     RAM,81640,2022,22,Bi-carbonisation of bioethanol petrol,automatic,grisfoncã©metal,12,Professional,,,,,
