publishedsince_days,brand,model,Price,year,KMs,Engine,Gear,Color,warranty_months,type of ad,rechargeable,battery_capacity_km,engine_power_kW,battery_volts_V,battery_intensity_A
60,BMW,     SERIE 1 F40,37950,2021,28860,Diesel,automatic,saphirschwarz,24,Professional,,,,,
3,PORSCHE,     CAYENNE 2,37930,2014,121414,Diesel,automatic,noir,6,Professional,,,,,
51,MERCEDES,     CLASSE B 3,37820,2021,19583,Petrol,automatic,argentiridiummã©tallisã©,24,Professional,,,,,
17,AUDI,     A3 (3E GENERATION) SPORTBACK,37800,2019,50114,Petrol,automatic,gris,12,Professional,,,,,
3,BMW,     SERIE 4 F36 GRAN COUPE,37780,2021,20384,Diesel,automatic,grisc,24,Professional,,,,,
41,FORD,     MUSTANG 6 COUPE,37780,2018,65407,Petrol,mechanic,blanc,6,Professional,,,,,
51,JAGUAR,     E-PACE,37780,2019,100302,Diesel,automatic,noir,12,Professional,,,,,
58,BMW,     SERIE 3 F30,37740,2020,22251,Diesel,automatic,noir,6,Professional,,,,,
8,AUDI,     A3 (4E GENERATION) SPORTBACK,37720,2022,6360,Petrol,automatic,noir,12,Professional,,,,,
20,BMW,     SERIE 1 F40,37720,2022,6738,Petrol,automatic,blanc,0,Professional,,,,,
3,BMW,     X4 F26,37620,2016,153846,Diesel,automatic,blanc,12,Professional,,,,,
60,KIA,     XCEED,37560,2021,11541,Petrol-electric hybrid,automatic,argent,67,Professional,yes,54.0,,360.0,24.7
40,BMW,     X1 F48,37500,2018,83329,Diesel,automatic,mediterraneanblau,24,Professional,,,,,
13,BMW,     SERIE 2 F22 COUPE M,37500,2017,81645,Petrol,automatic,noir,6,Professional,,,,,
18,JAGUAR,     E-PACE,37480,2019,84688,Diesel,automatic,gris,0,Professional,,,,,
60,BMW,     I3,37470,2020,18044,Electric,automatic,fluidblack,24,Professional,yes,359.0,,353.0,120.0
12,MINI,     COUNTRYMAN 2,37470,2020,34674,Petrol,automatic,gris,12,Professional,,,,,
21,MINI,     COUNTRYMAN 2,37470,2019,21290,Petrol,automatic,gris,12,Professional,,,,,
60,BMW,     SERIE 1 F40,37430,2022,4280,Diesel,automatic,noirmetal,24,Professional,,,110.0,,
4,JEEP,     RENEGADE,37430,2022,5,Petrol-electric hybrid,automatic,carbonblack,0,Professional,yes,43.0,,,
60,SEAT,     LEON 4 ST,37430,2022,6790,Diesel,automatic,blanc,24,Professional,,,,,
17,NISSAN,     LEAF 2,37380,2022,11,Electric,automatic,gris,26,Professional,yes,385.0,,350.0,
60,PEUGEOT,     5008 (2E GENERATION),37380,2022,3383,Diesel,mechanic,noir,24,Professional,,,,,
25,ALFA,     ROMEO STELVIO,37380,2019,48826,Diesel,automatic,grisfoncã©metal,12,Professional,,,132.0,,
18,VOLKSWAGEN,     TIGUAN 2,37370,2019,60741,Diesel,automatic,noir,6,Professional,,,,,
5,MERCEDES,     GLA,37370,2020,42000,Petrol,automatic,grisfoncã©mã©tal,24,Professional,,,,,
60,CITROEN,     C5 AIRCROSS,37300,2021,8566,Diesel,automatic,bleutijunca,24,Professional,,,,,
13,AUDI,     SQ5,37270,2016,109347,Diesel,automatic,grisclair,12,Professional,,,,,
53,AUDI,     Q2,37260,2022,23462,Petrol,automatic,gris,24,Professional,,,,,
60,PEUGEOT,     3008 (2E GENERATION),37250,2022,21826,Diesel,automatic,grisartense,12,Professional,,,,,
2,PEUGEOT,     3008 (2E GENERATION),37220,2021,25936,Diesel,automatic,noirperlanera,0,Professional,,,,,
47,AUDI,     RS5,37180,2012,176593,Petrol,automatic,blancmetal,6,Professional,,,331.0,,
30,BMW,     X1 F48,37180,2018,36816,Diesel,automatic,blanc,6,Professional,,,,,
28,MERCEDES,     GLC,37170,2016,99440,Diesel,automatic,noirmetal,12,Professional,,,125.0,,
6,AUDI,     A6 (4E GENERATION) AVANT,37160,2019,79502,Petrol,automatic,noir,12,Professional,,,,,
48,HYUNDAI,     TUCSON 4,37100,2022,12,Diesel,mechanic,blanc,0,Professional,,,,,
39,MERCEDES,     CLASSE C 4 SW,37040,2019,84984,Diesel,automatic,noir,12,Professional,,,,,
60,MERCEDES,     CLA,36950,2019,40221,Petrol,automatic,rougeverni,12,Professional,,,155.0,,
24,BMW,     SERIE 2 F46 GRAN TOURER,36930,2020,36704,Diesel,automatic,platinsilbermetallise,24,Professional,,,,,
60,BMW,     SERIE 4 F36 GRAN COUPE,36850,2018,88738,Diesel,automatic,noir,0,Professional,,,,,
60,PEUGEOT,     E-2008 (2E GENERATION),36780,2021,10925,Electric,automatic,rouge,12,Professional,yes,322.0,,,
16,MERCEDES,     GLC,36780,2018,87397,Diesel,automatic,blanc,6,Professional,,,,,
12,LEXUS,     UX,36770,2021,34890,Petrol-electric hybrid,automatic,grisclairmetal,12,Professional,no,,135.0,216.0,
60,PORSCHE,     CAYMAN TYPE 987,36750,2009,68198,Petrol,automatic,noirverni,6,Professional,,,217.0,,
30,VOLKSWAGEN,     ARTEON,36730,2020,148349,Diesel,automatic,noir,12,Professional,,,,,
4,FIAT,     500 X,36720,2022,6,Petrol,mechanic,bleu,0,Professional,,,,,
5,PEUGEOT,     2008 (2E GENERATION),36710,2022,12,Diesel,automatic,grisartense,24,Professional,,,,,
60,AUDI,     A4 (5E GENERATION) AVANT,36700,2021,42929,Diesel,automatic,noir,0,Professional,,,,,
30,BMW,     X2 F39,36670,2019,57488,Diesel,automatic,noir,0,Professional,,,,,
60,VOLVO,     XC40,36640,2020,49513,Diesel,automatic,grisosmium(gris),0,Professional,,,,,
60,PEUGEOT,     5008 (2E GENERATION),36620,2021,10449,Diesel,automatic,grisamazonite,12,Professional,,,,,
60,VOLKSWAGEN,     GOLF 8,36600,2022,108,Petrol,automatic,blanc,0,Professional,,,,,
53,AUDI,     A3 (3E GENERATION) CABRIOLET,36580,2019,65868,Diesel,automatic,rouge,0,Professional,,,,,
12,AUDI,     A4 (5E GENERATION) AVANT,36570,2021,26500,Petrol,automatic,noir,24,Professional,,,,,
30,RENAULT,     GRAND SCENIC 4,36560,2022,12,Diesel,mechanic,bleucosmos,0,Professional,,,,,
60,MERCEDES,     CLA SHOOTING BRAKE,36510,2020,54848,Diesel,automatic,blancpolaire,24,Professional,,,,,
60,MAZDA,     3 (4E GENERATION),36480,2022,4060,Petrol,automatic,bleufoncã©mã©tal,0,Professional,,,,,
60,AUDI,     A4 (5E GENERATION) AVANT,36460,2020,9748,Diesel,automatic,blanc,0,Professional,,,,,
17,BMW,     X1 F48,36460,2018,53558,Diesel,automatic,blanc,0,Professional,,,,,
60,TOYOTA,     COROLLA 12 TOURING SPORTS,36450,2022,3553,Petrol-electric hybrid,automatic,grisargent,36,Professional,no,,,207.0,3.6
10,SKODA,     KAROQ,36360,2022,107,Petrol,mechanic,noir,0,Professional,,,,,
60,VOLVO,     XC60 (2E GENERATION),36360,2019,94593,Diesel,mechanic,bleudenim,12,Professional,,,,,
37,PEUGEOT,     3008 (2E GENERATION),36290,2019,10769,Petrol,mechanic,grisfoncã©,12,Professional,,,,,
60,VOLVO,     XC40,36280,2019,82500,Diesel,automatic,grisosmium,12,Professional,,,,,
14,RENAULT,     KOLEOS 2,36280,2020,25077,Diesel,automatic,blancnacre,12,Professional,,,110.0,,
23,BMW,     X4 F26,36270,2018,77000,Diesel,automatic,gris,0,Professional,,,,,
6,VOLKSWAGEN,     GOLF 8,36270,2022,10890,Diesel,automatic,bleu,0,Professional,,,,,
60,PEUGEOT,     E-2008 (2E GENERATION),36230,2021,24056,Electric,automatic,orangefusion/no,0,Professional,yes,,,,
9,VOLKSWAGEN,     T-ROC,36230,2022,13358,Petrol,automatic,blanc,28,Professional,,,,,
60,BMW,     X2 F39,36220,2020,13485,Diesel,automatic,schwarzuni,24,Professional,,,,,
10,PEUGEOT,     2008 (2E GENERATION),36210,2022,20689,Petrol,automatic,bleuvertigo,12,Professional,,,,,
60,PEUGEOT,     3008 (2E GENERATION),36190,2021,33542,Diesel,automatic,grishurrica/t.noi,0,Professional,,,,,
60,BMW,     SERIE 5 G30,36140,2018,53211,Diesel,automatic,bluestonemetallise,24,Professional,,,,,
60,VOLKSWAGEN,     T-ROC,36130,2022,7831,Diesel,automatic,noir,24,Professional,,,,,
33,SEAT,     LEON 4 ST,36090,2022,20619,Diesel,automatic,rouge,24,Professional,,,,,
60,PEUGEOT,     2008 (2E GENERATION),36010,2022,11635,Diesel,automatic,rougeelixir,12,Professional,,,,,
60,ALFA,     ROMEO STELVIO,35980,2019,31950,Diesel,automatic,rouge,12,Professional,,,,,
23,AUDI,     Q5,35940,2016,62620,Petrol,automatic,marron,6,Professional,,,,,
60,VOLKSWAGEN,     GOLF 7 GTI,35940,2017,59272,Petrol,mechanic,noirmetal,3,Professional,,,195.0,,
25,PEUGEOT,     2008 (2E GENERATION),35880,2022,1,Petrol,automatic,orange,0,Professional,,,,,
8,VOLKSWAGEN,     T-ROC,35830,2022,13888,Petrol,automatic,blanc,24,Professional,,,,,
46,VOLKSWAGEN,     TIGUAN 2,35830,2019,58231,Diesel,automatic,noir,6,Professional,,,,,
60,PEUGEOT,     5008 (2E GENERATION),35820,2022,11061,Diesel,automatic,noir,12,Professional,,,,,
60,JAGUAR,     XJS CABRIOLET,35720,1990,73763,Petrol,automatic,bleu,3,Professional,,,,,
22,BMW,     SERIE 5 F10,35680,2014,131639,Diesel,automatic,grisf,3,Professional,,,,,
60,MERCEDES,     CLASSE A 4,35680,2020,23751,Diesel,automatic,blancdigital,24,Professional,,,,,
6,FIAT,     DUCATO 3,35680,2022,12,Diesel,mechanic,blanc,0,Professional,,,,,
33,AUDI,     A5 (2E GENERATION),35650,2018,94447,Diesel,automatic,grismetal,12,Professional,,,140.0,,
60,MINI,     COUNTRYMAN 2,35630,2019,18544,Petrol,automatic,grisargent,12,Professional,,,,,
60,BMW,     I3,35530,2020,30230,Electric,automatic,fluidblackpourblack,24,Professional,yes,359.0,135.0,352.0,120.0
30,AUDI,     Q3 (2E GENERATION),35530,2020,96699,Diesel,automatic,ibisweiãÿ,24,Professional,,,,,
14,PORSCHE,     MACAN,35500,2015,217338,Diesel,automatic,marronverni,6,Professional,,,190.0,,
60,AUDI,     A5 SPORTBACK (2E GENERATION),35490,2020,52463,Diesel,automatic,noir,12,Professional,,,,,
60,AUDI,     A1 (2E GENERATION) SPORTBACK,35450,2022,7482,Petrol,automatic,mythosschwarzmetallic,24,Professional,,,,,
60,ALFA,     ROMEO STELVIO,35410,2019,54839,Diesel,automatic,bleu,12,Professional,,,,,
60,SKODA,     OCTAVIA 4 COMBI,35400,2022,22200,Diesel,automatic,gris,24,Professional,,,,,
5,VOLKSWAGEN,     T-CROSS,35360,2022,12,Petrol,automatic,blanc,0,Professional,,,,,
60,MERCEDES,     CL 3,35360,2012,118290,Petrol,automatic,noirmetal,6,Professional,,,320.0,,
12,VOLKSWAGEN,     TAIGO,35340,2022,10146,Petrol,automatic,rouge,0,Professional,,,110.0,,
60,PEUGEOT,     508 (2E GENERATION),35320,2020,33877,Diesel,automatic,noir,12,Professional,,,,,
37,ALFA,     ROMEO STELVIO,35320,2018,79659,Diesel,automatic,grisfonce,12,Professional,,,,,
25,PEUGEOT,     2008 (2E GENERATION),35300,2022,1,Petrol,automatic,noir,0,Professional,,,,,
25,BMW,     SERIE 3 GT F34,35280,2018,52304,Petrol,automatic,bleunacre,12,Professional,,,135.0,,
17,PEUGEOT,     5008 (2E GENERATION),35230,2019,40425,Diesel,automatic,bleu,12,Professional,,,,,
47,RENAULT,     ARKANA,35170,2022,8400,Petrol,automatic,orange,0,Professional,,,,,
60,VOLKSWAGEN,     TIGUAN 2,35170,2020,21048,Diesel,automatic,grismetal,12,Professional,,,110.0,,
32,MERCEDES,     CLASSE E,35080,2019,117789,Diesel,automatic,gris,12,Professional,,,,,
60,BMW,     X2 F39,35070,2019,74220,Petrol,automatic,saphirschwartz,24,Professional,,,,,
19,CITROEN,     C5 AIRCROSS,35070,2021,28314,Diesel,automatic,blancnacre,12,Professional,,,,,
10,MERCEDES,     GLC,35010,2016,78191,Diesel,automatic,noir,6,Professional,,,,,
24,DS,      7 CROSSBACK,34960,2019,73106,Petrol,automatic,grisartense,12,Professional,,,,,
60,PEUGEOT,     308 (3E GENERATION),34940,2022,9963,Diesel,automatic,grisartense,12,Professional,,,,,
6,BMW,     SERIE 1 F40,34870,2022,13601,Petrol,automatic,noir,12,Professional,,,,,
39,AUDI,     Q2,34870,2019,34080,Diesel,automatic,blanc,12,Professional,,,,,
9,VOLKSWAGEN,     GOLF 8,34850,2022,7739,Petrol,automatic,argent,0,Professional,,,,,
10,BMW,     SERIE 1 F21 3 PORTES,34790,2019,60062,Diesel,automatic,mineralgrau,24,Professional,,,,,
60,PEUGEOT,     3008 (2E GENERATION),34780,2020,8239,Diesel,mechanic,noirperla,12,Professional,,,,,
55,VOLVO,     S90 (2E GENERATION),34770,2019,82687,Diesel,automatic,grisfoncã©metal,12,Professional,,,173.0,,
48,MERCEDES,     CLASSE E 5 BREAK,34660,2018,78868,Diesel,automatic,gris,0,Professional,,,,,
60,KIA,     SPORTAGE 4,34630,2020,47300,Diesel,automatic,blanc,6,Professional,,,,,
20,VOLKSWAGEN,     GOLF 8,34630,2022,11,Petrol,automatic,gris,12,Professional,,,,,
3,MERCEDES,     GLA,34630,2020,28094,Petrol,automatic,noir,12,Professional,,,,,
60,AUDI,     S5 CABRIOLET,34620,2015,77732,Petrol,automatic,noirmetal,12,Professional,,,245.0,,
39,BMW,     X4 F26,34620,2016,105710,Diesel,automatic,blanc,6,Professional,,,,,
5,VOLKSWAGEN,     TIGUAN 2,34550,2020,39442,Diesel,automatic,indiumgraumetallic,12,Professional,,,,,
10,MERCEDES,     CLASSE A 4,34500,2020,32182,Diesel,automatic,rougefonce,12,Professional,,,,,
5,PEUGEOT,     3008 (2E GENERATION),34480,2022,8798,Diesel,mechanic,grisartense,12,Professional,,,,,
17,CITROEN,     SPACETOURER,34480,2020,43517,Diesel,mechanic,blanc,6,Professional,,,,,
23,PEUGEOT,     E-2008 (2E GENERATION),34480,2021,20927,Electric,automatic,grisart/toitnoir,0,Professional,yes,,,,
6,VOLKSWAGEN,     GOLF 7,34470,2019,62488,Diesel,automatic,noir,0,Professional,,,,,
30,MERCEDES,     CLASSE A 4,34440,2021,24528,Diesel,automatic,noircosmosmã©tallisã©,24,Professional,,,,,
47,RENAULT,     ARKANA,34440,2022,12,Petrol,automatic,rouge,12,Professional,,,,,
30,SKODA,     OCTAVIA 3 COMBI RS,34390,2018,70448,Petrol,mechanic,gris,6,Professional,,,,,
19,CITROEN,     JUMPY 3 FOURGON,34390,2022,11,Diesel,mechanic,blanc,24,Professional,,,,,
6,RENAULT,     ARKANA,34380,2022,12,Petrol,automatic,gris,0,Professional,,,,,
39,RENAULT,     KADJAR,34370,2022,12,Petrol,mechanic,hyhgland,24,Professional,,,,,
34,AUDI,     A5 (2E GENERATION),34370,2018,80640,Diesel,automatic,blanc,6,Professional,,,,,
2,PEUGEOT,     5008 (2E GENERATION),34360,2019,110694,Diesel,automatic,bleu,12,Professional,,,,,
3,MERCEDES,     GLA,34300,2020,22422,Petrol,automatic,bleu,12,Professional,,,,,
60,LEXUS,     UX,34200,2020,20219,Petrol-electric hybrid,automatic,gristitane,0,Professional,no,,,,
60,AUDI,     A1 (2E GENERATION) SPORTBACK,34180,2021,13892,Petrol,automatic,gris,24,Professional,,,,,
16,OPEL,     GRANDLAND X,34120,2021,26279,Diesel,mechanic,grispierredelune,12,Professional,,,,,
60,TOYOTA,     C-HR,34110,2022,6300,Petrol-electric hybrid,automatic,grisplatiniumbi-ton,36,Professional,no,,,207.0,3.6
26,AUDI,     A5 (2E GENERATION),34090,2018,68892,Diesel,automatic,gris,12,Professional,,,,,
60,AUDI,     A1 (2E GENERATION) SPORTBACK,34020,2021,12072,Petrol,automatic,gris,24,Professional,,,,,
33,VOLVO,     XC40,33970,2019,27659,Diesel,mechanic,gris,12,Professional,,,,,
32,NISSAN,     370Z ROADSTER,33910,2014,63063,Petrol,automatic,noirmetal,6,Professional,,,241.0,,
38,PEUGEOT,     2008 (2E GENERATION),33910,2022,13352,Petrol,automatic,blancnacre,0,Professional,,,,,
24,VOLKSWAGEN,     TIGUAN 2,33900,2018,81888,Diesel,automatic,gris,0,Professional,,,,,
28,PEUGEOT,     5008 (2E GENERATION),33860,2019,116317,Diesel,automatic,gris,12,Professional,,,,,
27,AUDI,     Q5,33810,2018,79518,Diesel,automatic,noir,12,Professional,,,,,
26,PEUGEOT,     5008 (2E GENERATION),33800,2019,104563,Diesel,automatic,blanc,12,Professional,,,,,
60,VOLKSWAGEN,     GOLF 7 GTI,33680,2017,68670,Petrol,automatic,blanc,6,Professional,,,,,
60,DS,      3 CROSSBACK,33650,2020,14934,Petrol,automatic,bleu,12,Professional,,,,,
16,VOLKSWAGEN,     T-ROC,33610,2022,14848,Petrol,automatic,gris,0,Professional,,,,,
31,VOLKSWAGEN,     TIGUAN 2 ALLSPACE,33580,2019,111634,Diesel,automatic,blanc,3,Professional,,,,,
11,VOLKSWAGEN,     TIGUAN 2,33580,2018,92299,Diesel,automatic,blanc,6,Professional,,,,,
8,HYUNDAI,     IONIQ,33530,2022,1330,Electric,automatic,phamtomblack,0,Professional,yes,311.0,,319.0,120.0
60,LEXUS,     UX,33480,2021,37037,Petrol-electric hybrid,automatic,blancnova,36,Professional,,,,,
40,PEUGEOT,     308 (2E GENERATION) GTI,33460,2019,20196,Petrol,mechanic,rouge,12,Professional,,,,,
60,VOLKSWAGEN,     TIGUAN 2,33460,2018,63137,Diesel,automatic,blanc,12,Professional,,,,,
39,MINI,      3 CLUBMAN,33460,2019,26406,Petrol,automatic,noir,3,Professional,,,,,
6,VOLKSWAGEN,     T-CROSS,33330,2022,12,Petrol,automatic,noir,0,Professional,,,,,
60,AUDI,     A4 (5E GENERATION) AVANT,33330,2020,91885,Diesel,automatic,noir,0,Professional,,,,,
60,VOLKSWAGEN,     GOLF 8,33320,2021,20802,Diesel,automatic,bleu,24,Professional,,,,,
60,LAND ROVER,     RANGE ROVER EVOQUE,33320,2018,99106,Diesel,automatic,gris,0,Professional,,,,,
31,VOLKSWAGEN,     TOURAN 3,33290,2020,69556,Diesel,automatic,noir,0,Professional,,,,,
38,BMW,     X2 F39,33280,2019,64767,Diesel,automatic,blanc,12,Professional,,,,,
34,ALFA,     ROMEO STELVIO,33230,2020,106501,Diesel,automatic,bleumisano(bleu),0,Professional,,,,,
53,JAGUAR,     XF 2,33230,2018,118264,Diesel,automatic,noirmetal,12,Professional,,,221.0,,
32,PEUGEOT,     3008 (2E GENERATION),33190,2020,65805,Diesel,automatic,grisplatinium,12,Professional,,,,,
60,AUDI,     A1 (2E GENERATION) SPORTBACK,33190,2021,23948,Petrol,automatic,noir,24,Professional,,,,,
8,AUDI,     A1 (2E GENERATION) SPORTBACK,33180,2022,4329,Petrol,automatic,noirmythic,24,Professional,,,,,
20,JAGUAR,     XE,33070,2020,44991,Diesel,mechanic,blanc,12,Professional,,,,,
27,BMW,     SERIE 3 F31 TOURING,33060,2018,58786,Diesel,automatic,0,12,Professional,,,,,
60,MAZDA,     CX-30,33060,2020,20828,Petrol,mechanic,bleufoncã©,12,Professional,,,,,
60,VOLKSWAGEN,     T-CROSS,33040,2022,11,Petrol,automatic,blanc,0,Professional,,,,,
60,KIA,     XCEED,33040,2021,12540,Petrol,automatic,grisperle,0,Professional,,,,,
34,FORD,     FOCUS 3 ST,33020,2018,43530,Petrol,mechanic,gris,6,Professional,,,,,
53,BMW,     SERIE 3 F31 TOURING,33020,2019,48734,Petrol,automatic,noir,12,Professional,,,,,
60,VOLVO,     XC40,33020,2022,1130,Petrol,mechanic,blackstone,0,Professional,,,,,
21,MERCEDES,     CLASSE A 4,33020,2019,49324,Petrol,automatic,rouge,0,Professional,,,,,
60,MAZDA,     CX-5 (2E GENERATION),33010,2020,64620,Diesel,automatic,jetblackmica,24,Professional,,,,,
44,MAZDA,     CX-30,32990,2022,9913,Petrol,automatic,noir,12,Professional,,,,,
32,VOLKSWAGEN,     GOLF 7 GTI,32980,2018,69617,Petrol,automatic,rougeverni,12,Professional,,,195.0,,
5,PEUGEOT,     2008 (2E GENERATION),32940,2022,11,Diesel,automatic,grisartense,24,Professional,,,,,
19,VOLVO,     XC60,32940,2016,71404,Diesel,automatic,grisseashell(gris),0,Professional,,,,,
60,VOLKSWAGEN,     GOLF 8,32920,2021,19764,Diesel,mechanic,argent,24,Professional,,,,,
16,PEUGEOT,     EXPERT 3 FOURGON,32920,2018,61227,Diesel,automatic,marron,12,Professional,,,,,
41,TOYOTA,     C-HR,32870,2022,17638,Petrol-electric hybrid,automatic,gris,36,Professional,no,,,207.0,3.6
25,PEUGEOT,     2008 (2E GENERATION),32860,2022,1,Petrol,mechanic,platine,0,Professional,,,,,
60,RENAULT,     ARKANA,32840,2022,6396,Petrol,automatic,orange,17,Professional,,,,,
59,CITROEN,     C5 AIRCROSS,32830,2022,11025,Petrol,mechanic,noir,12,Professional,,,,,
60,BMW,     X1 F48,32810,2019,60878,Diesel,automatic,grisclair,12,Professional,,,,,
14,BMW,     SERIE 4 F32,32800,2019,82960,Diesel,automatic,noir,0,Professional,,,,,
60,PEUGEOT,     3008 (2E GENERATION),32760,2020,14898,Diesel,automatic,marron,12,Professional,,,,,
28,MAZDA,     MX5 (4E GENERATION) ST,32750,2020,11888,Petrol,mechanic,rougemetal,29,Professional,,,135.0,,
23,JAGUAR,     F-PACE,32740,2017,138021,Diesel,automatic,grisf,6,Professional,,,,,
19,CITROEN,     E-C4 (3E GENERATION),32740,2022,887,Electric,automatic,bruncaramel,0,Professional,yes,,,400.0,
6,VOLKSWAGEN,     TIGUAN 2,32710,2020,76773,Diesel,automatic,noir,12,Professional,,,,,
60,MERCEDES,     CLASSE A 4,32660,2021,26790,Diesel,automatic,blancdigitalmã©tallisã©,24,Professional,,,,,
16,CITROEN,     C5 AIRCROSS,32650,2022,5536,Petrol,mechanic,noir,12,Professional,,,,,
60,CITROEN,     C5 AIRCROSS,32650,2021,29084,Diesel,automatic,blancbanquise,12,Professional,,,,,
45,LAND ROVER,     RANGE ROVER EVOQUE,32630,2018,42783,Diesel,mechanic,blanc,3,Professional,,,,,
60,AUDI,     A1 (2E GENERATION) SPORTBACK,32590,2021,18910,Petrol,automatic,gris,24,Professional,,,,,
10,RENAULT,     CAPTUR 2,32530,2022,12,Petrol,automatic,blanc,0,Professional,,,,,
29,MINI,      3 CLUBMAN,32490,2019,17873,Petrol,automatic,grisclair,24,Professional,,,,,
60,HYUNDAI,     KONA,32480,2022,6215,Diesel,automatic,grismetal,0,Professional,,,100.0,,
60,VOLKSWAGEN,     T-CROSS,32460,2022,11,Petrol,automatic,bleu,0,Professional,,,,,
60,RENAULT,     TALISMAN ESTATE,32460,2020,19488,Diesel,automatic,violet,12,Professional,,,,,
60,PEUGEOT,     2008 (2E GENERATION),32430,2022,142,Diesel,mechanic,orangefusion,12,Professional,,,,,
4,BMW,     X2 F39,32430,2019,62938,Diesel,automatic,grisanthracite,12,Professional,,,,,
60,VOLKSWAGEN,     T-ROC,32420,2022,10890,Petrol,automatic,noir,0,Professional,,,,,
5,PEUGEOT,     308 (3E GENERATION),32380,2022,12,Diesel,automatic,noirperlanera,0,Professional,,,,,
18,AUDI,     S5,32370,2013,160000,Petrol,automatic,rougemetal,6,Professional,,,245.0,,
60,AUDI,     A3 (3E GENERATION) SPORTBACK,32360,2021,14470,Petrol,automatic,argentfleuretmetal,24,Professional,,,,,
39,VOLKSWAGEN,     GOLF 7,32360,2018,72800,Diesel,automatic,gris,6,Professional,,,,,
60,AUDI,     A7 SPORTBACK,32340,2016,177858,Diesel,automatic,beige,0,Professional,,,,,
47,MINI,      3 5P,32340,2020,27532,Petrol,automatic,vertanglais,24,Professional,,,,,
60,AUDI,     Q2,32310,2021,15492,Petrol,mechanic,noir,12,Professional,,,,,
60,AUDI,     A5 (2E GENERATION),32290,2018,36544,Petrol,automatic,grisfonce,12,Professional,,,,,
60,LAND ROVER,     RANGE ROVER EVOQUE,32290,2015,92954,Diesel,automatic,blanc,6,Professional,,,,,
10,RENAULT,     CAPTUR 2,32260,2022,12,Petrol,automatic,bleu,0,Professional,,,,,
60,JAGUAR,     E-PACE,32260,2019,113400,Diesel,automatic,rouge,0,Professional,,,,,
48,BMW,     SERIE 4 F33 CABRIOLET,32220,2016,79343,Diesel,automatic,bleufonce,0,Professional,,,,,
60,AUDI,     A4 (5E GENERATION) AVANT,32210,2018,82216,Diesel,automatic,noir,0,Professional,,,,,
11,AUDI,     RS3 SPORTBACK,32140,2012,113921,Petrol,automatic,noir,0,Professional,,,,,
47,PEUGEOT,     3008 (2E GENERATION),32140,2021,26739,Diesel,automatic,grishurr/toitno,0,Professional,,,,,
25,PEUGEOT,     2008 (2E GENERATION),32120,2022,1,Petrol,automatic,bleu,0,Professional,,,,,
60,SEAT,     LEON 4,32110,2022,10168,Petrol,mechanic,blanc,0,Professional,,,,,
48,MINI,     COUNTRYMAN 2,32110,2019,35113,Petrol,mechanic,bleu,12,Professional,,,,,
12,PEUGEOT,     3008 (2E GENERATION),32110,2020,70428,Diesel,automatic,vert,12,Professional,,,,,
6,CITROEN,     SPACETOURER,32080,2020,25145,Diesel,mechanic,noir,12,Professional,,,,,
60,MERCEDES,     SL,32080,1988,106950,Petrol,automatic,vertfoncã©metal,0,Professional,,,240.0,,
60,LAND ROVER,     DISCOVERY SPORT,32080,2018,47495,Diesel,mechanic,griscorris,12,Professional,,,,,
39,SEAT,     LEON 4,32070,2022,13,Diesel,automatic,blanc,12,Professional,,,,,
60,ALFA,     ROMEO STELVIO,32070,2018,96570,Diesel,automatic,noirmetal,6,Professional,,,154.0,,
3,CITROEN,     C5 AIRCROSS,32050,2020,2837,Petrol,mechanic,gris,12,Professional,,,,,
51,VOLKSWAGEN,     GOLF 7,31980,2021,10379,Petrol-electric hybrid,automatic,blancverni,24,Professional,yes,50.0,150.0,352.0,
60,HYUNDAI,     IONIQ,31960,2022,288,Electric,automatic,amazongrey,0,Professional,yes,311.0,,319.0,120.0
23,BMW,     SERIE 6 F12 CABRIOLET,31900,2012,140662,Petrol,automatic,noirmetal,6,Professional,,,235.0,,
58,CITROEN,     C4 (3E GENERATION),31880,2022,1,Diesel,automatic,gris,0,Professional,,,,,
23,VOLKSWAGEN,     TIGUAN 2,31880,2018,72547,Diesel,automatic,blanc,12,Professional,,,,,
60,BMW,     SERIE 4 F36 GRAN COUPE,31880,2017,94600,Diesel,automatic,noirmetal,3,Professional,,,190.0,,
60,AUDI,     Q2,31830,2018,41836,Diesel,automatic,blanc,0,Professional,,,,,
60,AUDI,     A1 (2E GENERATION) SPORTBACK,31790,2021,17799,Petrol,automatic,pfeilgrauperleffekt,24,Professional,,,,,
60,PEUGEOT,     3008 (2E GENERATION),31780,2021,19641,Petrol,mechanic,blancnacre,12,Professional,,,,,
12,AUDI,     A1 (2E GENERATION) SPORTBACK,31740,2020,50241,Petrol,automatic,gris,6,Professional,,,,,
60,BMW,     X1 F48,31700,2019,50630,Diesel,automatic,atlantikgraumetallisee,24,Professional,,,,,
40,VOLKSWAGEN,     TIGUAN 2,31700,2019,71870,Diesel,automatic,marron,6,Professional,,,,,
20,SEAT,     LEON 4,31620,2022,169,Diesel,mechanic,gris,47,Professional,,,,,
18,AUDI,     Q2,31610,2018,105788,Diesel,automatic,noir,0,Professional,,,,,
59,CITROEN,     C5 AIRCROSS,31610,2022,9127,Petrol,mechanic,gris,12,Professional,,,,,
10,RENAULT,     CAPTUR 2,31600,2022,12,Petrol,mechanic,bleu,0,Professional,,,,,
